protein_a,protein_b,interaction_score
MTNR1B,TCF7L2,0.724
ATP5MC1,NDUFV1,0.724
MLXIPL,INS,0.724
TLR4,BCL2,0.724
NPC1L1,PCSK9,0.723
ISL1,NR2F1,0.723
BRAF,MYC,0.722
CDC123,SLC30A8,0.722
PNLIP,MGAM,0.722
IFT52,DYNC2H1,0.722
ZC3H13,IGF2BP2,0.722
SCARB2,INS,0.722
PIP4K2A,PLCG2,0.722
RFX6,PDX1,0.722
SEC16B,FTO,0.721
APOE,SREBF1,0.721
INS,BCL2,0.721
PNPLA3,MLXIPL,0.721
CDC123,HHEX,0.72
CDC123,ADAMTS9,0.72
CEP120,CEP192,0.72
SCARB2,SREBF1,0.72
NDUFAF2,NDUFA4,0.72
CDC123,TSPAN8,0.72
AP3S2,SGIP1,0.72
USP44,NCOR2,0.72
ADRA2A,COMT,0.72
TFRC,NCAM1,0.72
ADCY9,CAMK2B,0.72
PTPRG,FHIT,0.72
IGF2BP1,FTO,0.72
G6PC2,SLC30A8,0.719
FGFR4,PDGFC,0.719
KIF3C,FMR1,0.719
ISL1,PDX1,0.719
PTGS1,PLA2G2F,0.719
HMGCR,LIPC,0.719
PCM1,HAUS6,0.719
MITF,BRAF,0.719
KLB,PPARA,0.718
PNPLA3,PPP1R3B,0.718
ITIH4,GP2,0.718
NOS2,IL10,0.718
BCL2,IL10,0.718
PTEN,IL10,0.717
SCARB2,NCAM1,0.717
HMGCR,INS,0.717
FXR1,QKI,0.717
ISL1,MEF2C,0.717
SCN5A,DMD,0.717
CCND1,AKT2,0.717
PNLIP,INS,0.717
SIX3,IRX6,0.716
HHEX,HNF1B,0.716
FXR1,NR1H4,0.716
CCND1,CCNH,0.716
PIK3R1,TYK2,0.716
PTGS2,MYC,0.715
SLC5A2,NR3C2,0.715
LGSN,NDUFV1,0.715
APOE,LEP,0.715
DNMT3A,JARID2,0.715
PPARD,INS,0.715
PPARG,PPARD,0.715
MEIS1,EYA1,0.715
HDAC4,HDAC9,0.715
SLC2A2,SLC30A8,0.714
IL1B,SELL,0.714
KCNQ1,TCF7L2,0.714
NEUROG3,HNF1B,0.714
TCF4,MYC,0.714
STRN,PPP2R3A,0.714
INS,MYC,0.714
APOE,FTO,0.713
PDE4B,AK4,0.713
INSR,SLC2A2,0.713
NDUFAF2,NDUFB1,0.713
TOX3,DENND1A,0.713
PPP2R2A,PPP4R3A,0.713
FFAR1,GLP1R,0.713
FADS2,PLA2G6,0.713
IL1B,SCARB2,0.712
CCND1,CYP19A1,0.712
DMD,ADRA1D,0.712
PTEN,MAP3K1,0.712
ENPP3,ADCY5,0.712
MYC,IGF1R,0.712
BCL2L11,RUNX3,0.712
CDKAL1,CDKN2B,0.712
NDUFS2,NDUFA4L2,0.711
WT1,CITED2,0.711
REL,NFATC2,0.711
PPARD,LEP,0.711
CCND1,RBPJ,0.711
IL1B,PPARA,0.711
DCSTAMP,CALCR,0.711
TLR4,INS,0.71
FGFR4,CSF1,0.71
PLA2G6,VPS13C,0.71
PCSK9,LPA,0.71
NDUFA1,NDUFA4L2,0.71
IL13,LEPR,0.71
MTNR1B,HHEX,0.709
PAX4,HNF1B,0.709
SPRY4,SPRED2,0.709
APOE,RELN,0.709
NDUFS4,NDUFA4L2,0.709
PPP3CA,PPP4R3A,0.709
CCND1,LTO1,0.709
GCKR,G6PC2,0.709
LEP,IL2RA,0.709
SMAD3,NCOR2,0.709
PTGS2,PLA2G2F,0.709
NDUFS6,NDUFAF6,0.709
DMD,SGCZ,0.708
FMR1,NLGN1,0.708
FGFR4,BDNF,0.708
RBL2,CDKN1C,0.708
KIF11,UHRF1,0.708
NDUFAF6,NDUFAB1,0.708
TSPAN15,PTGFRN,0.708
FGFR3,PDGFC,0.708
ADCY5,ENPP1,0.708
ONECUT1,RFX6,0.708
CCND1,DNMT3A,0.708
DRD4,TH,0.708
NFIB,HMGA2,0.707
AKAP6,ADCY5,0.707
CDKN1C,GRB10,0.707
SKI,NCOR2,0.706
ZBED3,ZFAND6,0.706
CDKAL1,HNF1B,0.706
CCND2,PTEN,0.706
BRD3,TAF8,0.706
IRS1,SREBF1,0.706
PRKN,BCL2,0.705
KCNH7,IFIH1,0.705
HMGB1,IL10,0.705
ITGA11,RELN,0.705
GCGR,ADCY5,0.705
NFATC1,MITF,0.704
ITGA11,ACTN1,0.704
KCNJ11,PDX1,0.704
PTGS2,XDH,0.704
WFS1,HHEX,0.704
TOMM7,NDUFA3,0.704
ITIH4,TLR4,0.704
SLC2A2,PDX1,0.704
NEUROD1,ABCC8,0.704
NDUFB7,ATP5MC1,0.703
PPP2R2A,AKT2,0.703
LIPF,ACSL1,0.703
FOXA2,TCF7L2,0.703
SHBG,NRXN3,0.703
CTBP1,HMG20A,0.703
IRS1,FGFR3,0.703
COL27A1,COL13A1,0.702
LEPR,FTO,0.702
GCK,INSR,0.702
MYBL2,CCND1,0.702
PNOC,PENK,0.702
IL10,NCAM1,0.702
FFAR1,PPARG,0.702
CDKN1B,BCL2,0.702
LIPC,ACSL1,0.702
PNPLA3,GCKR,0.701
CCND2,MYC,0.701
CSF1,ERBB4,0.701
CYP27B1,KL,0.701
DLK1,INS,0.701
RPTOR,ESR1,0.701
GCKR,TM6SF2,0.701
PSMA3,NDUFB5,0.701
ADH1B,GSTO1,0.701
DNAJC10,NDUFS8,0.701
INS,CTLA4,0.7
NDUFV2,NDUFAF6,0.7
RAMP1,CASR,0.7
ARID5B,PIP4K2A,0.7
PPARG,G6PC2,0.7
SIX3,IRX3,0.7
FST,SMAD3,0.7
ADCY9,ENPP1,0.7
PIK3C2B,PLCG2,0.7
